C (ANSI (C89)) (32 keywords)

void, JavaScript-5th edition
while	, JavaScript-5th edition
with	, JavaScript-5th edition
class	, JavaScript-5th edition
const, JavaScript-5th edition
enum	, JavaScript-5th edition
export	, JavaScript-5th edition
extends	, JavaScript-5th edition
import, JavaScript-5th edition
super	, JavaScript-5th edition
implements	, JavaScript-5th edition
interface	, JavaScript-5th edition
let, JavaScript-5th edition
package	, JavaScript-5th edition
private	, JavaScript-5th edition
protected	, JavaScript-5th edition
public, JavaScript-5th edition
static	, JavaScript-5th edition
yield	, JavaScript-5th edition
null	, JavaScript-5th edition
true, JavaScript-5th edition
false	, JavaScript-5th edition





JavaScript (6th edition) (46 keywords)

break	, JavaScript-6th edition
case	, JavaScript-6th edition
catch	, JavaScript-6th edition
class, JavaScript-6th edition
const	, JavaScript-6th edition
continue	, JavaScript-6th edition
debugger	, JavaScript-6th edition
default, JavaScript-6th edition
delete	, JavaScript-6th edition
do	, JavaScript-6th edition
else	, JavaScript-6th edition
export, JavaScript-6th edition
extends	, JavaScript-6th edition
finally	, JavaScript-6th edition
for	, JavaScript-6th edition
function, JavaScript-6th edition
if	, JavaScript-6th edition
import	, JavaScript-6th edition
in	, JavaScript-6th edition
instanceof, JavaScript-6th edition
new	, JavaScript-6th edition
return	, JavaScript-6th edition
super	, JavaScript-6th edition
switch, JavaScript-6th edition
this	, JavaScript-6th edition
throw	, JavaScript-6th edition
try	, JavaScript-6th edition
typeof, JavaScript-6th edition
var	, JavaScript-6th edition
void	, JavaScript-6th edition
while	, JavaScript-6th edition
with, JavaScript-6th edition
yield	, JavaScript-6th edition
let	, JavaScript-6th edition
static	, JavaScript-6th edition
enum, JavaScript-6th edition
await	, JavaScript-6th edition
implements	, JavaScript-6th edition
interface	, JavaScript-6th edition
package, JavaScript-6th edition
private	, JavaScript-6th edition
protected	, JavaScript-6th edition
public	, JavaScript-6th edition
null, JavaScript-6th edition
true	, JavaScript-6th edition
false, JavaScript-6th edition





Kotlin (1.4) (79 keywords)

as	, kotlin
as?	, kotlin
break	, kotlin
class, kotlin
continue	, kotlin
do	, kotlin
else	, kotlin
false, kotlin
for	, kotlin
fun	, kotlin
if	, kotlin
in, kotlin
!in	, kotlin
interface	, kotlin
is	, kotlin
!is, kotlin
null	, kotlin
object	, kotlin
package	, kotlin
return, kotlin
super	, kotlin
this	, kotlin
throw	, kotlin
true, kotlin
try	, kotlin
typealias	, kotlin
typeof	, kotlin
val, kotlin
var	, kotlin
when	, kotlin
while	, kotlin
by, kotlin
catch	, kotlin
constructor	, kotlin
delegate	, kotlin
dynamic, kotlin
